Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Masaru Kitsuregawa (University of Tokyo),Masaru,Kitsuregawa,University of Tokyo,,Honorary Chair,Japan,https://orcid.org/0000-0003-4027-2994
Hiroyuki Kitagawa (University of Tsukuba),Hiroyuki,Kitagawa,University of Tsukuba,,Organizing Committee Chair,Japan,https://orcid.org/0000-0002-2984-2258
"Sharad Mehrotra (University of California, Irvine)",Sharad,Mehrotra,University of California,Irvine,VLDB Endowment Representative,United States,
Yoshiharu Ishikawa (Nagoya University),Yoshiharu,Ishikawa,Nagoya University,,General Chairs,Japan,
Christian S. Jensen (Aalborg University),Christian S.,Jensen,Aalborg University,,General Chairs,Denmark,
Magdalena Balazinska (University of Washington),Magdalena,Balazinska,University of Washington,,Program Committee Chairs,United States,
Xiaofang Zhou (University of Queensland),Xiaofang,Zhou,University of Queensland,,Program Committee Chairs,Australia,
"Michael J. Carey (University of California, Irvine)",Michael J.,Carey,University of California,,Tutorial Chairs,United States,
Renée J. Miller (Northeastern University),Renée J.,Miller,Northeastern University,Boston,Tutorial Chairs,United States,https://orcid.org/0000-0002-1484-4787
Tiziana Catarci (Sapienza Università di Roma),Tiziana,Catarci,Sapienza University of Rome,,Industrial Chairs,Italy,https://orcid.org/0000-0002-3578-1121
Carlo Curino (Microsoft),Carlo,Curino,Microsoft Research,,Industrial Chairs,United States,
Divesh Srivastava (AT&T Labs),Divesh,Srivastava,AT&T Labs,,Industrial Chairs,United States,https://orcid.org/0000-0002-7609-9217
Yasuhiro Fujiwara (NTT Communication Science Laboratories),Yasuhiro,Fujiwara,NTT Communication Science Laboratories,,Demo Chairs,Japan,
Ioana Manolescu (INRIA),Ioana,Manolescu,INRIA,Saclay,Demo Chairs,France,https://orcid.org/0000-0002-0425-2462
"Ying Zhang (University of Technology, Sydney)",Ying,Zhang,University of Technology Sydney,,Demo Chairs,Australia,
Anastasia Ailamaki (EPFL),Anastasia,Ailamaki,École polytechnique fédérale de Lausanne,,Panel Chairs,Switzerland,
Surajit Chaudhuri (Microsoft),Surajit,Chaudhuri,Microsoft Research,,Panel Chairs,United States,
Wook-Shin Han (POSTECH),Wook-Shin,Han,Pohang University of Science and Technology,,Workshop Chairs,South Korea,
Makoto Onizuka (Osaka University),Makoto,Onizuka,Osaka University,,Workshop Chairs,Japan,https://orcid.org/0000-0001-5559-8300
Nesime Tatbul (MIT / Intel Labs),Nesime,Tatbul,Massachusetts Institute of Technology,,Workshop Chairs,United States,
Ziawasch Abedjan (TU Berlin),Ziawasch,Abedjan,Technical University of Berlin,,PhD Workshop Chairs,Germany,
Katja Hose (Aalborg University),Katja,Hose,Aalborg University,,PhD Workshop Chairs,Denmark,https://orcid.org/0000-0001-7025-8099
"Gustavo Alonso (ETH Zurich, Switzerland)",Gustavo,Alonso,ETH Zurich,,Member Best Paper Award Committee,Switzerland,
"Beng Chin Ooi (National University of Singapore, Singapore)",Beng Chin,Ooi,National University of Singapore,,Best Paper Award Committee Chair,Singapore,https://orcid.org/0000-0003-4446-1100
"Jignesh M. Patel (University of Wisconsin-Madison, USA)",Jignesh M.,Patel,University of Wisconsin,Madison,Member Best Paper Award Committee,United States,
"Wang-Chiew Tan (Megagon Labs, USA)",Wang-Chiew,Tan,Megagon Labs,,Member Best Paper Award Committee,United States,
"Meihui Zhang (Beijing Institute of Technology, China)",Meihui,Zhang,Beijing Institute of Technology,,Member Best Paper Award Committee,China,https://orcid.org/0000-0002-0752-9877
"Anastasia Ailamaki (EPFL, Switzerland): Chair",Anastasia Ailamaki :,Chair,École polytechnique fédérale de Lausanne,,Best Industry Paper Award Committee Chair,Switzerland,
"Phil Bernstein (Microsoft Research, USA)",Philip A.,Bernstein,Microsoft Research,,Member Best Industry Paper Award Committee,United States,
"Elisa Bertino (Purdue University, USA)",Elisa,Bertino,Purdue University,,Member Best Industry Paper Award Committee,United States,https://orcid.org/0000-0002-4029-7051
"Alon Halevy (Facebook AI, USA)",Alon,Halevy,Facebook AI,,Member Best Industry Paper Award Committee,United States,
"Laura Haas (University of Massachusetts Amherst, USA)",Laura,Haas,University of Massachusetts,Amherst,Member Best Industry Paper Award Committee,United States,
"Angelos Anadiotis (Ecole Polytechnique , France)",Angelos,Anadiotis,École Polytechnique,,Best Demonstration Award Committee,France,https://orcid.org/0000-0001-8101-6044
"Ahmed Eldawy (University of California at Riverside, USA)",Ahmed,Eldawy,University of California,Riverside,Best Demonstration Award Committee,United States,
"Yasuhiro Fujiwara (NTT Communication Science Laboratories, Japan)",Yasuhiro,Fujiwara,NTT Communication Science Laboratories,,Best Demonstration Award Committee,Japan,
